iter	Passed	Remaining
775	5818	9177
776	5825	9169
777	5832	9161
778	5839	9153
779	5847	9145
780	5854	9137
781	5861	9129
782	5868	9120
783	5875	9113
784	5883	9106
785	5891	9098
786	5898	9090
787	5905	9082
788	5912	9074
789	5920	9067
790	5927	9059
791	5934	9052
792	5942	9044
793	5949	9037
794	5957	9029
795	5965	9023
796	5973	9016
797	5980	9008
798	5988	9000
799	5995	8993
800	6002	8985
801	6010	8978
802	6017	8970
803	6025	8962
804	6033	8956
805	6041	8949
806	6048	8941
807	6056	8934
808	6064	8927
809	6071	8919
810	6078	8912
811	6086	8904
812	6093	8896
813	6100	8888
814	6107	8880
815	6114	8871
816	6122	8864
817	6129	8857
818	6137	8849
819	6148	8847
820	6155	8840
821	6162	8832
822	6171	8825
823	6178	8817
824	6186	8810
825	6193	8802
826	6200	8794
827	6207	8786
828	6215	8779
829	6222	8771
830	6229	8762
831	6236	8755
832	6244	8747
833	6251	8739
834	6258	8732
835	6266	8724
836	6273	8717
837	6281	8709
838	6288	8701
839	6295	8694
840	6302	8686
841	6310	8678
842	6317	8670
843	6325	8663
844	6332	8655
845	6340	8648
846	6347	8640
847	6354	8633
848	6361	8624
849	6369	8617
850	6376	8609
851	6384	8602
852	6391	8594
853	6399	8587
854	6406	8578
855	6413	8571
856	6420	8563
857	6427	8555
858	6435	8548
859	6443	8541
860	6450	8533
861	6457	8525
862	6464	8517
863	6472	8509
864	6479	8502
865	6486	8494
866	6494	8486
867	6501	8478
868	6508	8471
869	6515	8462
870	6523	8455
871	6530	8448
872	6539	8441
873	6546	8434
874	6554	8426
875	6561	8418
876	6568	8411
877	6575	8403
878	6583	8396
879	6590	8388
880	6598	8381
881	6606	8374
882	6613	8366
883	6620	8358
884	6627	8350
885	6635	8342
886	6642	8334
887	6649	8326
888	6656	8318
889	6663	8310
890	6670	8303
891	6678	8296
892	6686	8288
893	6693	8281
894	6700	8273
895	6708	8265
896	6715	8257
897	6723	8250
898	6730	8242
899	6737	8234
900	6744	8226
901	6752	8219
902	6759	8211
903	6767	8204
904	6774	8197
905	6782	8190
906	6790	8182
907	6797	8175
908	6805	8168
909	6812	8160
910	6820	8153
911	6828	8145
912	6835	8138
913	6842	8130
914	6849	8122
915	6857	8115
916	6865	8107
917	6871	8099
918	6879	8092
919	6887	8085
920	6894	8077
921	6901	8069
922	6909	8062
923	6916	8054
924	6924	8047
925	6931	8039
926	6939	8032
927	6948	8026
928	6956	8019
929	6963	8011
930	6970	8004
931	6978	7996
932	6985	7989
933	6993	7981
934	6999	7972
935	7006	7965
936	7013	7957
937	7021	7949
938	7028	7941
939	7035	7934
940	7043	7926
941	7054	7923
942	7064	7918
943	7071	7910
944	7079	7903
945	7086	7895
946	7094	7888
947	7101	7880
948	7108	7872
949	7115	7864
950	7123	7857
951	7132	7851
952	7143	7847
953	7150	7840
954	7158	7832
955	7165	7824
956	7172	7817
957	7179	7809
958	7186	7800
959	7194	7793
960	7201	7786
961	7208	7778
962	7215	7770
963	7223	7762
964	7230	7754
965	7239	7749
966	7247	7742
967	7255	7734
968	7262	7726
969	7269	7719
970	7277	7711
971	7284	7704
972	7291	7696
973	7299	7689
974	7306	7681
975	7314	7674
976	7321	7666
977	7329	7658
978	7336	7651
979	7344	7643
980	7351	7636
981	7358	7628
982	7366	7621
983	7373	7613
984	7381	7605
985	7388	7598
986	7395	7590
987	7402	7582
988	7410	7575
989	7417	7567
990	7424	7559
991	7431	7551
992	7438	7543
993	7445	7535
994	7453	7528
995	7460	7520
996	7468	7512
997	7475	7505
998	7482	7497
999	7490	7490
1000	7497	7482
1001	7505	7475
1002	7513	7468
1003	7521	7461
1004	7529	7454
1005	7536	7446
1006	7543	7438
1007	7550	7430
1008	7557	7422
1009	7565	7415
1010	7572	7407
1011	7580	7401
1012	7588	7393
1013	7595	7386
1014	7602	7377
1015	7610	7370
1016	7617	7362
1017	7624	7355
1018	7632	7347
1019	7639	7340
1020	7647	7332
1021	7654	7324
1022	7661	7317
1023	7669	7309
1024	7677	7302
1025	7684	7294
1026	7691	7287
1027	7699	7279
1028	7706	7271
1029	7713	7264
1030	7721	7256
1031	7728	7249
1032	7735	7241
1033	7743	7234
1034	7750	7226
1035	7757	7218
1036	7765	7211
1037	7772	7203
1038	7780	7196
1039	7787	7188
1040	7794	7180
1041	7801	7173
1042	7809	7165
1043	7816	7157
1044	7823	7149
1045	7830	7142
1046	7838	7134
1047	7845	7127
1048	7853	7119
1049	7861	7112
1050	7868	7104
1051	7875	7097
1052	7883	7089
1053	7890	7081
1054	7897	7074
1055	7905	7066
1056	7912	7059
1057	7920	7051
1058	7927	7044
1059	7935	7037
1060	7942	7029
1061	7950	7021
1062	7957	7014
1063	7965	7007
1064	7972	6999
1065	7981	6993
1066	7988	6985
1067	7996	6977
1068	8003	6970
1069	8011	6963
1070	8019	6956
1071	8027	6948
1072	8034	6941
1073	8042	6933
1074	8049	6925
1075	8056	6918
1076	8063	6910
1077	8071	6903
1078	8078	6895
1079	8085	6887
1080	8092	6879
1081	8100	6872
1082	8107	6864
1083	8114	6857
1084	8122	6849
1085	8131	6843
1086	8140	6837
1087	8148	6830
1088	8155	6822
1089	8162	6814
1090	8169	6806
1091	8176	6799
1092	8184	6791
1093	8191	6783
1094	8198	6775
1095	8205	6768
1096	8213	6760
1097	8220	6752
1098	8228	6745
1099	8235	6738
1100	8243	6731
1101	8251	6724
1102	8259	6717
1103	8267	6709
1104	8275	6702
1105	8282	6695
1106	8290	6687
1107	8297	6679
1108	8305	6673
1109	8312	6665
1110	8320	6657
1111	8327	6650
1112	8335	6643
1113	8342	6635
1114	8349	6627
1115	8356	6619
1116	8363	6611
1117	8371	6603
1118	8378	6596
1119	8385	6588
1120	8393	6581
1121	8400	6573
1122	8408	6566
1123	8415	6558
1124	8422	6550
1125	8429	6543
1126	8437	6535
1127	8444	6527
1128	8451	6520
1129	8458	6512
1130	8466	6504
1131	8473	6497
1132	8480	6489
1133	8487	6481
1134	8495	6474
1135	8503	6467
1136	8510	6459
1137	8517	6451
1138	8524	6444
1139	8532	6436
1140	8539	6428
1141	8547	6421
1142	8555	6414
1143	8563	6407
1144	8571	6400
1145	8579	6393
1146	8586	6385
1147	8594	6378
1148	8601	6370
1149	8608	6362
1150	8615	6355
1151	8623	6347
1152	8630	6339
1153	8637	6332
1154	8644	6324
1155	8652	6317
1156	8659	6309
1157	8666	6301
1158	8674	6294
1159	8681	6286
1160	8689	6279
1161	8696	6271
1162	8703	6263
1163	8710	6255
1164	8718	6248
1165	8725	6241
1166	8733	6233
1167	8740	6226
1168	8747	6218
1169	8755	6211
1170	8762	6203
1171	8771	6196
1172	8778	6188
1173	8786	6182
1174	8794	6174
1175	8801	6166
1176	8808	6159
1177	8815	6151
1178	8823	6144
1179	8830	6136
1180	8837	6128
1181	8844	6120
1182	8851	6113
1183	8859	6105
1184	8866	6098
1185	8874	6090
1186	8881	6082
1187	8888	6075
1188	8896	6068
1189	8904	6060
1190	8911	6053
1191	8919	6046
1192	8927	6038
1193	8935	6032
1194	8943	6024
1195	8952	6017
1196	8959	6010
1197	8967	6003
1198	8975	5996
1199	8983	5989
1200	8991	5982
1201	9000	5975
1202	9008	5968
1203	9017	5961
1204	9025	5954
1205	9033	5947
1206	9042	5940
1207	9050	5933
1208	9058	5926
1209	9065	5918
1210	9072	5911
1211	9080	5903
1212	9087	5895
1213	9095	5888
1214	9102	5880
1215	9109	5873
1216	9117	5865
1217	9128	5861
1218	9136	5853
1219	9143	5845
1220	9151	5838
1221	9159	5831
1222	9166	5823
1223	9173	5816
1224	9180	5808
1225	9188	5800
1226	9194	5792
1227	9201	5784
1228	9208	5777
1229	9216	5769
1230	9224	5762
1231	9231	5754
1232	9238	5747
1233	9245	5739
1234	9253	5731
1235	9260	5724
1236	9268	5716
1237	9275	5708
1238	9282	5701
1239	9290	5693
1240	9297	5686
1241	9304	5678
1242	9312	5671
1243	9319	5663
1244	9328	5656
1245	9335	5649
1246	9343	5641
1247	9350	5634
1248	9357	5626
1249	9365	5619
1250	9372	5611
1251	9379	5603
1252	9387	5596
1253	9394	5588
1254	9402	5581
1255	9409	5573
1256	9416	5566
1257	9423	5558
1258	9430	5550
1259	9438	5543
1260	9445	5535
1261	9452	5527
1262	9460	5520
1263	9467	5512
1264	9474	5505
1265	9482	5497
1266	9489	5490
1267	9497	5482
1268	9504	5474
1269	9511	5467
1270	9518	5459
1271	9526	5452
1272	9534	5444
1273	9542	5437
1274	9549	5429
1275	9556	5422
1276	9564	5414
1277	9571	5407
1278	9578	5399
1279	9586	5392
1280	9593	5384
1281	9600	5376
1282	9608	5369
1283	9614	5361
1284	9622	5354
1285	9629	5346
1286	9637	5339
1287	9644	5331
1288	9652	5324
1289	9659	5316
1290	9666	5308
1291	9674	5301
1292	9681	5293
1293	9688	5285
1294	9696	5278
1295	9703	5271
1296	9710	5263
1297	9718	5255
1298	9725	5248
1299	9733	5240
1300	9740	5233
1301	9747	5225
1302	9754	5217
1303	9762	5210
1304	9769	5202
1305	9776	5195
1306	9784	5188
1307	9792	5180
1308	9799	5173
1309	9806	5165
1310	9814	5157
1311	9821	5150
1312	9828	5142
1313	9835	5134
1314	9842	5127
1315	9849	5119
1316	9857	5112
1317	9864	5104
1318	9871	5096
1319	9879	5089
1320	9886	5081
1321	9893	5074
1322	9901	5066
1323	9908	5058
1324	9915	5051
1325	9922	5043
1326	9929	5036
1327	9937	5028
1328	9945	5021
1329	9953	5014
1330	9961	5006
1331	9968	4999
1332	9976	4992
1333	9983	4984
1334	9991	4977
1335	9998	4969
1336	10005	4961
1337	10013	4954
1338	10020	4946
1339	10027	4938
1340	10034	4931
1341	10042	4923
1342	10049	4916
1343	10057	4909
1344	10064	4901
1345	10071	4893
1346	10079	4886
1347	10086	4878
1348	10093	4871
1349	10101	4863
1350	10108	4855
1351	10115	4848
1352	10126	4842
1353	10133	4834
1354	10140	4827
1355	10148	4819
1356	10156	4812
1357	10163	4805
1358	10171	4797
1359	10178	4790
1360	10185	4782
1361	10193	4774
1362	10200	4767
1363	10207	4759
1364	10214	4751
1365	10222	4744
1366	10229	4736
1367	10236	4729
1368	10244	4721
1369	10251	4714
1370	10258	4706
1371	10266	4699
1372	10274	4691
1373	10282	4684
1374	10289	4677
1375	10296	4669
1376	10304	4661
1377	10311	4654
1378	10318	4646
1379	10326	4639
1380	10334	4632
1381	10341	4624
1382	10348	4616
1383	10355	4609
1384	10363	4601
1385	10370	4594
1386	10378	4586
1387	10385	4579
1388	10393	4571
1389	10400	4564
1390	10408	4556
1391	10415	4549
1392	10423	4541
1393	10429	4534
1394	10437	4526
1395	10444	4518
1396	10452	4511
1397	10459	4504
1398	10467	4496
1399	10474	4488
1400	10481	4481
1401	10489	4474
1402	10496	4466
1403	10504	4459
1404	10512	4451
1405	10520	4444
1406	10529	4437
1407	10536	4430
1408	10545	4423
1409	10552	4415
1410	10559	4408
1411	10567	4400
1412	10575	4393
1413	10582	4385
1414	10590	4378
1415	10597	4370
1416	10604	4363
1417	10612	4355
1418	10619	4348
1419	10627	4340
1420	10634	4333
1421	10642	4325
1422	10649	4318
1423	10657	4310
1424	10664	4303
1425	10671	4295
1426	10678	4287
1427	10686	4280
1428	10693	4272
1429	10701	4265
1430	10708	4257
1431	10715	4250
1432	10723	4242
1433	10730	4235
1434	10738	4227
1435	10745	4220
1436	10752	4212
1437	10759	4204
1438	10767	4197
1439	10775	4190
1440	10782	4182
1441	10789	4175
1442	10797	4167
1443	10804	4160
1444	10812	4152
1445	10819	4145
1446	10826	4137
1447	10833	4130
